年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),報酬率％,Gap％,振幅％,MA5,MA10,MA20,MA5差％,MA20差％,週幾,成交量(千股)_log,收盤價(元)_lag1,收盤價(元)_lag2,收盤價(元)_lag3,收盤價(元)_lag4,收盤價(元)_lag5,成交量(千股)_lag1,成交量(千股)_lag2,成交量(千股)_lag3,成交量(千股)_lag4,成交量(千股)_lag5,報酬率％_lag1,報酬率％_lag2,報酬率％_lag3,報酬率％_lag4,報酬率％_lag5,Gap％_lag1,Gap％_lag2,Gap％_lag3,Gap％_lag4,Gap％_lag5,振幅％_lag1,振幅％_lag2,振幅％_lag3,振幅％_lag4,振幅％_lag5,MA5差％_lag1,MA5差％_lag2,MA5差％_lag3,MA5差％_lag4,MA5差％_lag5,MA20差％_lag1,MA20差％_lag2,MA20差％_lag3,MA20差％_lag4,MA20差％_lag5,成交量(千股)_log_lag1,成交量(千股)_log_lag2,成交量(千股)_log_lag3,成交量(千股)_log_lag4,成交量(千股)_log_lag5,TSM_ADR_close,TSM_ADR_ret1d,USDTWD,USDTWD_ret1d,TSM_ADR_gap％
2020-02-14,337.0,337.0,334.5,335.0,16933.683,0.0,0.5970149253731405,0.7462686567164178,332.8,329.2,331.675,0.6610576923076872,1.002487374689065,4,9.73711904644662,335.0,335.0,331.5,327.5,328.0,22757.021,37612.639,27524.935,30632.424,28798.327,0.0,1.0558069381598756,1.2213740458015376,-0.1524390243902385,-1.3533834586466176,0.8955223880596996,0.6033182503770718,0.9160305343511421,-1.981707317073167,-0.7518796992481258,0.8955223880597015,0.904977375565611,0.7633587786259541,2.1341463414634148,1.3533834586466165,1.086300543150287,1.2390450287095955,0.6375227686703067,-0.18287107589149976,0.7371007371007376,1.086300543150287,1.170252925632309,0.15862225243596928,-1.1693700490380987,-1.189938243711397,10.032672933668968,10.535122002965672,10.222883930132927,10.329846979410135,10.268107297795444,58.19,-0.019214562615877284,30.024,0.0008667244482964964,-1.8364491898763324
2020-02-17,331.5,333.0,330.5,331.5,15937.079,-1.0447761194029903,-1.0447761194029903,0.7462686567164178,333.6,330.85,331.375,-0.629496402877705,0.03772161448509781,0,9.676466430652649,335.0,335.0,335.0,331.5,327.5,16933.683,22757.021,37612.639,27524.935,30632.424,0.0,0.0,1.0558069381598756,1.2213740458015376,-0.1524390243902385,0.5970149253731405,0.8955223880596996,0.6033182503770718,0.9160305343511421,-1.981707317073167,0.7462686567164178,0.8955223880597015,0.904977375565611,0.7633587786259541,2.1341463414634148,0.6610576923076872,1.086300543150287,1.2390450287095955,0.6375227686703067,-0.18287107589149976,1.002487374689065,1.086300543150287,1.170252925632309,0.15862225243596928,-1.1693700490380987,9.73711904644662,10.032672933668968,10.535122002965672,10.222883930132927,10.329846979410135,58.19,-0.019214562615877284,30.0090008,-0.000499573674393905,-1.9704537200623262
2020-02-18,324.5,326.5,322.0,322.0,61825.604,-2.865761689291102,-2.1116138763197623,1.3574660633484164,331.7,330.55,330.5,-2.9243292131444054,-2.571860816944027,1,11.032089036250403,331.5,335.0,335.0,335.0,331.5,15937.079,16933.683,22757.021,37612.639,27524.935,-1.0447761194029903,0.0,0.0,1.0558069381598756,1.2213740458015376,-1.0447761194029903,0.5970149253731405,0.8955223880596996,0.6033182503770718,0.9160305343511421,0.7462686567164178,0.7462686567164178,0.8955223880597015,0.904977375565611,0.7633587786259541,-0.629496402877705,0.6610576923076872,1.086300543150287,1.2390450287095955,0.6375227686703067,0.03772161448509781,1.002487374689065,1.086300543150287,1.170252925632309,0.15862225243596928,9.676466430652649,9.73711904644662,10.032672933668968,10.535122002965672,10.222883930132927,56.18,-0.03454201752878494,30.098,0.002965750195854655,-3.167871032818148
2020-02-19,322.5,327.0,322.0,326.5,38781.218,1.3975155279503104,0.15527950310558758,1.5527950310559007,330.0,330.45,329.75,-1.0606060606060619,-0.9855951478392688,2,10.565717121591222,322.0,331.5,335.0,335.0,335.0,61825.604,15937.079,16933.683,22757.021,37612.639,-2.865761689291102,-1.0447761194029903,0.0,0.0,1.0558069381598756,-2.1116138763197623,-1.0447761194029903,0.5970149253731405,0.8955223880596996,0.6033182503770718,1.3574660633484164,0.7462686567164178,0.7462686567164178,0.8955223880597015,0.904977375565611,-2.9243292131444054,-0.629496402877705,0.6610576923076872,1.086300543150287,1.2390450287095955,-2.571860816944027,0.03772161448509781,1.002487374689065,1.086300543150287,1.170252925632309,11.032089036250403,9.676466430652649,9.73711904644662,10.032672933668968,10.535122002965672,57.64,0.025987896048415893,30.156,0.0019270383414180525,2.796501406193208
2020-02-20,328.0,329.0,325.0,325.5,27011.736,-0.3062787136294043,0.45941807044409533,1.2251148545176112,328.1,329.75,328.725,-0.7924413288631582,-0.9810631987223428,3,10.204063737472952,326.5,322.0,331.5,335.0,335.0,38781.218,61825.604,15937.079,16933.683,22757.021,1.3975155279503104,-2.865761689291102,-1.0447761194029903,0.0,0.0,0.15527950310558758,-2.1116138763197623,-1.0447761194029903,0.5970149253731405,0.8955223880596996,1.5527950310559007,1.3574660633484164,0.7462686567164178,0.7462686567164178,0.8955223880597015,-1.0606060606060619,-2.9243292131444054,-0.629496402877705,0.6610576923076872,1.086300543150287,-0.9855951478392688,-2.571860816944027,0.03772161448509781,1.002487374689065,1.086300543150287,10.565717121591222,11.032089036250403,9.676466430652649,9.73711904644662,10.032672933668968,56.48,-0.02012491325468435,30.363,0.00686430561082374,-1.3398751198832048
2020-02-21,325.5,326.5,323.0,325.0,22813.534,-0.1536098310291889,0.0,1.0752688172043012,326.1,329.45,327.975,-0.3373198405397182,-0.9070813324186355,4,10.03515306799402,325.5,326.5,322.0,331.5,335.0,27011.736,38781.218,61825.604,15937.079,16933.683,-0.3062787136294043,1.3975155279503104,-2.865761689291102,-1.0447761194029903,0.0,0.45941807044409533,0.15527950310558758,-2.1116138763197623,-1.0447761194029903,0.5970149253731405,1.2251148545176112,1.5527950310559007,1.3574660633484164,0.7462686567164178,0.7462686567164178,-0.7924413288631582,-1.0606060606060619,-2.9243292131444054,-0.629496402877705,0.6610576923076872,-0.9810631987223428,-0.9855951478392688,-2.571860816944027,0.03772161448509781,1.002487374689065,10.204063737472952,10.565717121591222,11.032089036250403,9.676466430652649,9.73711904644662,55.59,-0.01575779036827185,30.385,0.0007245660837202905,-1.5044641845006756
2020-02-24,319.5,321.5,319.5,320.0,41693.68,-1.538461538461533,-1.692307692307693,0.6153846153846154,323.8,328.7,327.25,-1.1735639283508403,-2.2154316271963292,0,10.638128821710486,325.0,325.5,326.5,322.0,331.5,22813.534,27011.736,38781.218,61825.604,15937.079,-0.1536098310291889,-0.3062787136294043,1.3975155279503104,-2.865761689291102,-1.0447761194029903,0.0,0.45941807044409533,0.15527950310558758,-2.1116138763197623,-1.0447761194029903,1.0752688172043012,1.2251148545176112,1.5527950310559007,1.3574660633484164,0.7462686567164178,-0.3373198405397182,-0.7924413288631582,-1.0606060606060619,-2.9243292131444054,-0.629496402877705,-0.9070813324186355,-0.9810631987223428,-0.9855951478392688,-2.571860816944027,0.03772161448509781,10.03515306799402,10.204063737472952,10.565717121591222,11.032089036250403,9.676466430652649,54.12,-0.02644360496492182,30.43,0.001480993911469497,-2.5001773871402677
2020-02-25,320.0,323.5,317.5,322.0,36195.011,0.6250000000000089,0.0,1.875,323.8,327.75,326.7,-0.5558987029030349,-1.4386287113559826,1,10.496704198371962,320.0,325.0,325.5,326.5,322.0,41693.68,22813.534,27011.736,38781.218,61825.604,-1.538461538461533,-0.1536098310291889,-0.3062787136294043,1.3975155279503104,-2.865761689291102,-1.692307692307693,0.0,0.45941807044409533,0.15527950310558758,-2.1116138763197623,0.6153846153846154,1.0752688172043012,1.2251148545176112,1.5527950310559007,1.3574660633484164,-1.1735639283508403,-0.3373198405397182,-0.7924413288631582,-1.0606060606060619,-2.9243292131444054,-2.2154316271963292,-0.9070813324186355,-0.9810631987223428,-0.9855951478392688,-2.571860816944027,10.638128821710486,10.03515306799402,10.204063737472952,10.565717121591222,11.032089036250403,53.86,-0.004804138950480374,30.396,-0.0011173184357541333,-0.5916089633217214
2020-02-26,317.0,320.5,316.5,318.5,60479.362,-1.0869565217391353,-1.552795031055898,1.2422360248447204,322.2,326.1,325.975,-1.1483550589695857,-2.293120638085755,2,11.010073996285238,322.0,320.0,325.0,325.5,326.5,36195.011,41693.68,22813.534,27011.736,38781.218,0.6250000000000089,-1.538461538461533,-0.1536098310291889,-0.3062787136294043,1.3975155279503104,0.0,-1.692307692307693,0.0,0.45941807044409533,0.15527950310558758,1.875,0.6153846153846154,1.0752688172043012,1.2251148545176112,1.5527950310559007,-0.5558987029030349,-1.1735639283508403,-0.3373198405397182,-0.7924413288631582,-1.0606060606060619,-1.4386287113559826,-2.2154316271963292,-0.9070813324186355,-0.9810631987223428,-0.9855951478392688,10.496704198371962,10.638128821710486,10.03515306799402,10.204063737472952,10.565717121591222,55.029999,0.021722966951355227,30.267,-0.004243979470983095,1.7386795654581677
2020-02-27,319.0,320.0,315.0,316.0,61250.927,-0.7849293563579329,0.15698587127157548,1.5698587127158554,320.3,324.2,325.95,-1.3424914142990962,-3.052615431814687,3,11.02275058913657,318.5,322.0,320.0,325.0,325.5,60479.362,36195.011,41693.68,22813.534,27011.736,-1.0869565217391353,0.6250000000000089,-1.538461538461533,-0.1536098310291889,-0.3062787136294043,-1.552795031055898,0.0,-1.692307692307693,0.0,0.45941807044409533,1.2422360248447204,1.875,0.6153846153846154,1.0752688172043012,1.2251148545176112,-1.1483550589695857,-0.5558987029030349,-1.1735639283508403,-0.3373198405397182,-0.7924413288631582,-2.293120638085755,-1.4386287113559826,-2.2154316271963292,-0.9070813324186355,-0.9810631987223428,11.010073996285238,10.496704198371962,10.638128821710486,10.03515306799402,10.204063737472952,53.29,-0.03161909924803008,30.261,-0.00019823570224997145,-3.181106691593616
