年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),報酬率％,Gap％,振幅％,MA5,MA10,MA20,MA5差％,MA20差％,週幾,成交量(千股)_log,成交量(千股)_rel20％,收盤價(元)_lag1,收盤價(元)_lag2,收盤價(元)_lag3,收盤價(元)_lag4,收盤價(元)_lag5,成交量(千股)_lag1,成交量(千股)_lag2,成交量(千股)_lag3,成交量(千股)_lag4,成交量(千股)_lag5,報酬率％_lag1,報酬率％_lag2,報酬率％_lag3,報酬率％_lag4,報酬率％_lag5,Gap％_lag1,Gap％_lag2,Gap％_lag3,Gap％_lag4,Gap％_lag5,振幅％_lag1,振幅％_lag2,振幅％_lag3,振幅％_lag4,振幅％_lag5,MA5差％_lag1,MA5差％_lag2,MA5差％_lag3,MA5差％_lag4,MA5差％_lag5,MA20差％_lag1,MA20差％_lag2,MA20差％_lag3,MA20差％_lag4,MA20差％_lag5,成交量(千股)_log_lag1,成交量(千股)_log_lag2,成交量(千股)_log_lag3,成交量(千股)_log_lag4,成交量(千股)_log_lag5,成交量(千股)_rel20％_lag1,成交量(千股)_rel20％_lag2,成交量(千股)_rel20％_lag3,成交量(千股)_rel20％_lag4,成交量(千股)_rel20％_lag5,TSM_ADR_close,TSM_ADR_ret1d
2020-02-06,412.7699890136719,415.0,408.67999267578125,413.7200012207031,203.7,0.7083575568762379,0.4771041276322885,1.5384258810101934,412.86399536132814,410.55499877929685,408.65099945068357,0.2073336180903329,1.2404231916313346,3,5.321545492667243,-5.101327742837181,410.80999755859375,421.5799865722656,415.8299865722656,402.3800048828125,409.8900146484375,235.0,352.9,305.9,411.3,244.9,-2.554672744605191,1.3827766600956082,3.342606870679443,-1.8322011996477428,0.13191853838285805,0.02372173886353579,1.0076239272556853,0.661067555502437,-3.003251515343741,-0.8525762061600051,3.9541684712537335,2.1691604315511386,3.191012521019799,4.781764591837737,1.810180294136219,-0.3125471354837095,2.3734444913869224,1.6008638616485271,-1.1016021822053412,0.4027014207912627,0.8044774086526596,3.7312770506302995,2.7917104083539757,-0.11443608842679476,1.996181293146404,5.4638318050256105,5.869014387351418,5.72652196162569,6.021751239712854,5.504924949222147,9.480549732122046,69.41910705712912,46.855496879500706,104.11910669975187,22.84926009530974,58.02000045776367,
2020-02-07,413.4100036621094,418.1700134277344,410.67999267578125,417.6000061035156,147.8,0.9378335278362959,-0.07492931395124414,1.8104081818266984,415.9079956054687,411.38500061035154,409.45549926757815,0.4068232676276651,1.989106716238065,4,5.002603122398992,-29.29921071513991,413.7200012207031,410.80999755859375,421.5799865722656,415.8299865722656,402.3800048828125,203.7,235.0,352.9,305.9,411.3,0.7083575568762379,-2.554672744605191,1.3827766600956082,3.342606870679443,-1.8322011996477428,0.4771041276322885,0.02372173886353579,1.0076239272556853,0.661067555502437,-3.003251515343741,1.5384258810101934,3.9541684712537335,2.1691604315511386,3.191012521019799,4.781764591837737,0.2073336180903329,-0.3125471354837095,2.3734444913869224,1.6008638616485271,-1.1016021822053412,1.2404231916313346,0.8044774086526596,3.7312770506302995,2.7917104083539757,-0.11443608842679476,5.321545492667243,5.4638318050256105,5.869014387351418,5.72652196162569,6.021751239712854,-5.101327742837181,9.480549732122046,69.41910705712912,46.855496879500706,104.11910669975187,56.20000076293945,-0.031368488115561255
2020-02-10,416.3699951171875,421.1400146484375,414.3599853515625,419.7200012207031,232.6,0.507661658573344,-0.29454285640581057,1.6235702101963936,416.6859985351563,412.98200073242185,410.24099884033205,0.7281268620046744,2.3105936284199435,0,5.453610250954072,11.265247548433388,417.6000061035156,413.7200012207031,410.80999755859375,421.5799865722656,415.8299865722656,147.8,203.7,235.0,352.9,305.9,0.9378335278362959,0.7083575568762379,-2.554672744605191,1.3827766600956082,3.342606870679443,-0.07492931395124414,0.4771041276322885,0.02372173886353579,1.0076239272556853,0.661067555502437,1.8104081818266984,1.5384258810101934,3.9541684712537335,2.1691604315511386,3.191012521019799,0.4068232676276651,0.2073336180903329,-0.3125471354837095,2.3734444913869224,1.6008638616485271,1.989106716238065,1.2404231916313346,0.8044774086526596,3.7312770506302995,2.7917104083539757,5.002603122398992,5.321545492667243,5.4638318050256105,5.869014387351418,5.72652196162569,-29.29921071513991,-5.101327742837181,9.480549732122046,69.41910705712912,46.855496879500706,57.02000045776367,0.01459074170271113
2020-02-11,421.0,421.0,410.2900085449219,411.75,171.8,-1.8988852562478287,0.3049649231807283,2.5516990908056454,414.7200012207031,413.26300048828125,410.3824981689453,-0.716146125569328,0.3332261578298912,1,5.152134856369956,-15.34860803153485,419.7200012207031,417.6000061035156,413.7200012207031,410.80999755859375,421.5799865722656,232.6,147.8,203.7,235.0,352.9,0.507661658573344,0.9378335278362959,0.7083575568762379,-2.554672744605191,1.3827766600956082,-0.29454285640581057,-0.07492931395124414,0.4771041276322885,0.02372173886353579,1.0076239272556853,1.6235702101963936,1.8104081818266984,1.5384258810101934,3.9541684712537335,2.1691604315511386,0.7281268620046744,0.4068232676276651,0.2073336180903329,-0.3125471354837095,2.3734444913869224,2.3105936284199435,1.989106716238065,1.2404231916313346,0.8044774086526596,3.7312770506302995,5.453610250954072,5.002603122398992,5.321545492667243,5.4638318050256105,5.869014387351418,11.265247548433388,-29.29921071513991,-5.101327742837181,9.480549732122046,69.41910705712912,58.65999984741211,0.028761827016526187
2020-02-12,411.5,413.8699951171875,405.82000732421875,410.57000732421875,157.7,-0.2865798848284751,-0.06071645415908211,1.9550668592516696,414.6720031738281,413.38500061035154,410.77249908447266,-0.9892145643335848,-0.04929535465622026,2,5.0670156275323635,-21.169707573106734,411.75,419.7200012207031,417.6000061035156,413.7200012207031,410.80999755859375,171.8,232.6,147.8,203.7,235.0,-1.8988852562478287,0.507661658573344,0.9378335278362959,0.7083575568762379,-2.554672744605191,0.3049649231807283,-0.29454285640581057,-0.07492931395124414,0.4771041276322885,0.02372173886353579,2.5516990908056454,1.6235702101963936,1.8104081818266984,1.5384258810101934,3.9541684712537335,-0.716146125569328,0.7281268620046744,0.4068232676276651,0.2073336180903329,-0.3125471354837095,0.3332261578298912,2.3105936284199435,1.989106716238065,1.2404231916313346,0.8044774086526596,5.152134856369956,5.453610250954072,5.002603122398992,5.321545492667243,5.4638318050256105,-15.34860803153485,11.265247548433388,-29.29921071513991,-5.101327742837181,9.480549732122046,59.630001068115234,0.01653599084940871
2020-02-13,409.0,420.5400085449219,409.0,418.0899963378906,205.5,1.8315972622261034,-0.38239698375700515,2.810728581985524,415.54600219726564,414.2049987792969,411.48349914550784,0.6122051775671489,1.6055314991006764,3,5.330300412401088,2.724318920269919,410.57000732421875,411.75,419.7200012207031,417.6000061035156,413.7200012207031,157.7,171.8,232.6,147.8,203.7,-0.2865798848284751,-1.8988852562478287,0.507661658573344,0.9378335278362959,0.7083575568762379,-0.06071645415908211,0.3049649231807283,-0.29454285640581057,-0.07492931395124414,0.4771041276322885,1.9550668592516696,2.5516990908056454,1.6235702101963936,1.8104081818266984,1.5384258810101934,-0.9892145643335848,-0.716146125569328,0.7281268620046744,0.4068232676276651,0.2073336180903329,-0.04929535465622026,0.3332261578298912,2.3105936284199435,1.989106716238065,1.2404231916313346,5.0670156275323635,5.152134856369956,5.453610250954072,5.002603122398992,5.321545492667243,-21.169707573106734,-15.34860803153485,11.265247548433388,-29.29921071513991,-5.101327742837181,59.33000183105469,-0.005031011767346105
2020-02-14,420.0,425.2099914550781,417.04998779296875,424.5799865722656,142.9,1.5522950300705052,0.4568403164006307,1.9517337734899185,416.94199829101564,416.4249969482422,412.32049865722655,1.8319066710854148,2.9732909120365525,4,4.969118613893322,-28.567858035491135,418.0899963378906,410.57000732421875,411.75,419.7200012207031,417.6000061035156,205.5,157.7,171.8,232.6,147.8,1.8315972622261034,-0.2865798848284751,-1.8988852562478287,0.507661658573344,0.9378335278362959,-0.38239698375700515,-0.06071645415908211,0.3049649231807283,-0.29454285640581057,-0.07492931395124414,2.810728581985524,1.9550668592516696,2.5516990908056454,1.6235702101963936,1.8104081818266984,0.6122051775671489,-0.9892145643335848,-0.716146125569328,0.7281268620046744,0.4068232676276651,1.6055314991006764,-0.04929535465622026,0.3332261578298912,2.3105936284199435,1.989106716238065,5.330300412401088,5.0670156275323635,5.152134856369956,5.453610250954072,5.002603122398992,2.724318920269919,-21.169707573106734,-15.34860803153485,11.265247548433388,-29.29921071513991,58.189998626708984,-0.019214616031732468
2020-02-18,423.9599914550781,430.760009765625,419.8699951171875,430.54998779296875,192.3,1.406095767466664,-0.1460255162267221,2.564891184899024,419.1079956054688,417.8969970703125,413.59949798583983,2.730082057005423,4.098285875508778,1,5.264243386214285,-2.3362112747587593,424.5799865722656,418.0899963378906,410.57000732421875,411.75,419.7200012207031,142.9,205.5,157.7,171.8,232.6,1.5522950300705052,1.8315972622261034,-0.2865798848284751,-1.8988852562478287,0.507661658573344,0.4568403164006307,-0.38239698375700515,-0.06071645415908211,0.3049649231807283,-0.29454285640581057,1.9517337734899185,2.810728581985524,1.9550668592516696,2.5516990908056454,1.6235702101963936,1.8319066710854148,0.6122051775671489,-0.9892145643335848,-0.716146125569328,0.7281268620046744,2.9732909120365525,1.6055314991006764,-0.04929535465622026,0.3332261578298912,2.3105936284199435,4.969118613893322,5.330300412401088,5.0670156275323635,5.152134856369956,5.453610250954072,-28.567858035491135,2.724318920269919,-21.169707573106734,-15.34860803153485,11.265247548433388,56.18000030517578,-0.03454198949938836
2020-02-19,434.32000732421875,436.69000244140625,430.239990234375,431.7799987792969,191.1,0.2856836653586381,0.8756287627774473,1.4980867239352373,423.11399536132814,418.9169982910156,414.81199798583987,2.0481486107705393,4.0905279682956985,2,5.258016069774511,-2.94565769426105,430.54998779296875,424.5799865722656,418.0899963378906,410.57000732421875,411.75,192.3,142.9,205.5,157.7,171.8,1.406095767466664,1.5522950300705052,1.8315972622261034,-0.2865798848284751,-1.8988852562478287,-0.1460255162267221,0.4568403164006307,-0.38239698375700515,-0.06071645415908211,0.3049649231807283,2.564891184899024,1.9517337734899185,2.810728581985524,1.9550668592516696,2.5516990908056454,2.730082057005423,1.8319066710854148,0.6122051775671489,-0.9892145643335848,-0.716146125569328,4.098285875508778,2.9732909120365525,1.6055314991006764,-0.04929535465622026,0.3332261578298912,5.264243386214285,4.969118613893322,5.330300412401088,5.0670156275323635,5.152134856369956,-2.3362112747587593,-28.567858035491135,2.724318920269919,-21.169707573106734,-15.34860803153485,57.63999938964844,0.025987879610925413
2020-02-20,430.0,430.7699890136719,413.30999755859375,420.1199951171875,225.0,-2.700450158662715,-0.4122466960788329,4.043724003992772,425.02399291992185,419.847998046875,415.2694976806641,-1.15381669845126,1.1680360497493991,3,5.420534999272286,12.612612612612617,431.7799987792969,430.54998779296875,424.5799865722656,418.0899963378906,410.57000732421875,191.1,192.3,142.9,205.5,157.7,0.2856836653586381,1.406095767466664,1.5522950300705052,1.8315972622261034,-0.2865798848284751,0.8756287627774473,-0.1460255162267221,0.4568403164006307,-0.38239698375700515,-0.06071645415908211,1.4980867239352373,2.564891184899024,1.9517337734899185,2.810728581985524,1.9550668592516696,2.0481486107705393,2.730082057005423,1.8319066710854148,0.6122051775671489,-0.9892145643335848,4.0905279682956985,4.098285875508778,2.9732909120365525,1.6055314991006764,-0.04929535465622026,5.258016069774511,5.264243386214285,4.969118613893322,5.330300412401088,5.0670156275323635,-2.94565769426105,-2.3362112747587593,-28.567858035491135,2.724318920269919,-21.169707573106734,56.47999954223633,-0.020124910820530584
